pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S
classical_01::style_swap::swap_cross,classical_01,classical,S,style_swap,nan,0.752344,0.368767,0.923001,0.176412
classical_02::time_stretch::-5pct,classical_02,classical,R,time_stretch,-5.0,0.987616,0.887476,0.871704,0.506985
classical_07::control::ctrl,classical_07,classical,control,control,0.0,1.000000,1.000000,1.000000,0.446105
classical_11::pitch_shift::-2st,classical_11,classical,H,pitch_shift,-2.0,0.642655,0.659545,0.975134,0.476390
ambient_01::lowpass::lp4000,ambient_01,ambient,T,lowpass,4000.0,0.999705,0.420645,0.976311,0.432117
ambient_05::control::ctrl,ambient_05,ambient,control,control,0.0,1.000000,1.000000,1.000000,0.477227
ambient_06::time_stretch::+20pct,ambient_06,ambient,R,time_stretch,20.0,0.997393,0.858057,0.544828,0.575818
ambient_08::pitch_shift::+1st,ambient_08,ambient,H,pitch_shift,1.0,0.412957,0.648361,0.980038,0.461683
ambient_09::distortion::drv12,ambient_09,ambient,T,distortion,12.0,0.997609,0.603286,0.973955,0.484512
ambient_11::control::ctrl,ambient_11,ambient,control,control,0.0,1.000000,0.999877,1.000000,0.568523
ambient_12::time_stretch::+20pct,ambient_12,ambient,R,time_stretch,20.0,0.998811,0.809149,0.972630,0.184172
ambient_15::distortion::drv4,ambient_15,ambient,T,distortion,4.0,0.999996,0.916117,0.997311,0.507857
electronic_05::distortion::drv4,electronic_05,electronic,T,distortion,4.0,0.999875,0.794447,0.957147,0.737746
electronic_07::time_stretch::+5pct,electronic_07,electronic,R,time_stretch,5.0,0.994286,0.941496,0.731634,0.417003
electronic_10::control::ctrl,electronic_10,electronic,control,control,0.0,1.000000,1.000000,1.000000,0.553827
electronic_13::lowpass::lp4000,electronic_13,electronic,T,lowpass,4000.0,0.999963,0.466768,0.955501,0.372823
electronic_14::control::ctrl,electronic_14,electronic,control,control,0.0,1.000000,1.000000,1.000000,0.477563
folk_01::time_stretch::+10pct,folk_01,folk,R,time_stretch,10.0,0.999226,0.860793,0.617776,0.530178
folk_06::distortion::drv12,folk_06,folk,T,distortion,12.0,0.988309,0.447689,0.962217,0.325166
folk_12::lowpass::lp2000,folk_12,folk,T,lowpass,2000.0,0.999930,0.709958,0.999308,0.375289
jazz_03::time_stretch::-10pct,jazz_03,jazz,R,time_stretch,-10.0,0.999141,0.910360,0.655716,0.515101
